Date,Open,High,Low,Close,Volume
02/10/2022,"139.50","141.43","138.05","138.60","33,017,700"
02/09/2022,"140.85","142.18","140.38","141.45","28,627,160"
02/08/2022,"138.99","139.84","136.87","139.21","34,255,040"
02/07/2022,"143.71","143.85","138.70","138.94","44,610,740"
02/04/2022,"143.02","144.54","139.82","143.02","49,224,400"
02/03/2022,"145.30","149.12","142.21","142.65","56,930,140"
02/02/2022,"151.86","152.10","145.56","148.04","89,750,760"
02/01/2022,"137.84","138.20","134.57","137.88","51,203,200"
01/31/2022,"134.20","135.84","132.27","135.70","34,055,560"
01/28/2022,"130.00","133.37","128.69","133.29","30,517,560"
01/27/2022,"131.36","132.61","128.95","129.12","30,285,020"
01/26/2022,"130.59","132.81","127.15","129.24","39,630,880"
01/25/2022,"128.44","129.34","126.38","126.74","36,008,600"
01/24/2022,"126.03","130.78","124.64","130.37","55,292,040"
01/21/2022,"133.01","134.76","130.00","130.09","41,919,220"
01/20/2022,"136.51","137.91","133.14","133.51","21,930,560"
01/19/2022,"136.94","138.40","135.50","135.65","20,795,280"
01/18/2022,"136.60","137.39","135.62","136.29","27,401,960"
01/14/2022,"137.50","141.20","137.50","139.79","23,825,920"
01/13/2022,"141.84","143.19","138.91","139.13","26,565,080"
01/12/2022,"141.55","142.81","141.11","141.65","23,641,580"
01/11/2022,"138.18","140.33","136.81","140.02","23,501,240"
01/10/2022,"135.10","138.64","133.14","138.57","34,095,680"
01/07/2022,"137.91","138.25","135.79","137.00","19,408,240"
01/06/2022,"137.50","139.69","136.76","137.55","29,049,040"
01/05/2022,"144.18","144.30","137.52","137.65","49,641,520"
01/04/2022,"145.55","146.61","143.82","144.42","22,927,780"
01/03/2022,"144.48","145.55","143.50","145.07","25,224,500"
12/31/2021,"145.54","146.37","144.68","144.68","17,297,700"
12/30/2021,"146.45","147.06","145.76","146.00","12,977,020"
12/29/2021,"146.43","147.18","145.50","146.50","17,024,720"
12/28/2021,"148.37","148.37","145.94","146.45","18,635,840"
12/27/2021,"147.46","148.43","147.25","148.06","13,259,320"
12/23/2021,"147.09","148.57","146.95","147.14","13,818,680"
12/22/2021,"144.10","147.30","143.96","146.95","18,440,480"
12/21/2021,"143.15","144.69","141.74","144.22","19,551,940"
12/20/2021,"140.68","142.61","140.25","142.40","20,263,520"
12/17/2021,"142.71","144.46","141.79","142.80","43,404,700"
12/16/2021,"148.08","148.55","144.09","144.84","27,399,740"
12/15/2021,"144.37","147.52","142.71","147.37","27,280,960"
12/14/2021,"144.77","145.44","142.24","144.97","24,778,800"
12/13/2021,"148.44","148.56","146.36","146.70","24,103,920"
12/10/2021,"149.10","149.40","147.36","148.68","21,638,460"
12/09/2021,"148.18","149.61","147.53","148.11","18,580,600"
12/08/2021,"148.33","149.16","147.20","148.72","18,963,940"
12/07/2021,"145.95","148.30","145.70","148.04","23,258,280"
12/06/2021,"143.57","144.35","140.65","143.80","22,197,700"
12/03/2021,"144.50","145.21","141.15","142.52","26,687,480"
12/02/2021,"141.82","144.68","140.98","143.78","21,250,700"
12/01/2021,"144.21","146.50","141.50","141.62","28,545,780"
11/30/2021,"145.45","146.63","142.07","142.45","41,590,520"
11/29/2021,"144.30","146.86","144.30","146.11","26,276,120"
11/26/2021,"145.02","145.30","142.49","142.81","16,992,120"
11/24/2021,"146.35","147.00","145.20","146.72","16,464,060"
11/23/2021,"147.11","147.69","144.89","146.76","18,133,140"
11/22/2021,"150.14","150.74","147.01","147.08","24,627,700"
11/19/2021,"151.00","151.85","149.89","149.95","19,782,960"
11/18/2021,"149.15","151.61","149.00","150.71","26,682,400"
11/17/2021,"149.23","149.63","148.56","149.06","15,290,820"
11/16/2021,"149.17","149.83","148.35","149.08","17,254,860"
11/15/2021,"150.00","150.48","148.65","149.39","16,247,340"
11/12/2021,"147.83","149.86","146.45","149.65","17,047,660"
11/11/2021,"147.11","148.50","146.69","146.75","12,463,100"
11/10/2021,"148.01","148.70","145.33","146.63","22,708,320"
11/09/2021,"149.75","150.38","147.51","149.25","16,875,560"
11/08/2021,"150.00","151.03","149.12","149.35","18,388,140"
11/05/2021,"149.35","150.57","148.65","149.24","20,408,140"
11/04/2021,"147.20","149.95","146.64","148.68","24,700,800"
11/03/2021,"146.28","146.91","145.05","146.79","17,886,600"
11/02/2021,"144.81","146.92","144.64","145.86","21,150,580"
11/01/2021,"148.17","148.40","143.58","143.77","32,272,100"
10/29/2021,"145.52","148.61","145.17","148.27","28,954,500"
10/28/2021,"147.30","147.42","144.76","146.13","32,418,060"
10/27/2021,"139.90","149.12","139.90","146.43","51,850,920"
10/26/2021,"140.61","140.84","139.01","139.67","28,258,740"
10/25/2021,"138.81","139.21","136.75","138.77","21,081,700"
10/22/2021,"140.35","141.56","137.17","138.63","30,182,640"
10/21/2021,"142.19","142.85","141.64","142.78","14,849,920"
10/20/2021,"144.22","144.25","141.91","142.42","17,939,500"
10/19/2021,"143.29","144.11","143.10","143.82","15,315,840"
10/18/2021,"141.21","143.00","141.21","142.96","16,567,200"
10/15/2021,"142.20","142.20","141.06","141.68","21,253,360"
10/14/2021,"139.95","141.65","139.34","141.41","21,437,560"
10/13/2021,"137.75","138.55","136.98","137.90","16,393,280"
10/12/2021,"139.64","139.70","136.25","136.71","22,535,020"
10/11/2021,"139.80","140.76","138.81","138.85","16,584,760"
10/08/2021,"139.91","140.32","139.43","140.06","18,928,420"
10/07/2021,"138.86","140.15","138.56","139.19","18,250,460"
